,Tweet Created At,Tweet Text,Tweet Link,code_clasif,class,lecture_name,date,hour,classroom
814,2019-05-09 07:44:21,ECEU Ekonomi Keuangan Internasional dosen Fithra Faisal kuliah pengganti akan diberikan hari Selasa 14/5 jam 08.00 R. A.203,twitter.com/i/web/status/1126392447267770368,ECEU,Ekonomi Keuangan Internasional,Fithra Faisal,Selasa 14/5,08.00,A.203
815,2019-05-09 06:54:30,ECAU Perpajakan 1 dosen MOnica Sidjabat kuliah pengganti akan diberikan hari Sabtu 11/5 jam 09.00 R. A.107,twitter.com/i/web/status/1126379903354527744,ECAU,Perpajakan 1,MOnica Sidjabat,Sabtu 11/5,09.00,A.107
816,2019-05-09 06:51:44,ECMU Manajemen Operasi dosen Akhir Matua kuliah pengganti akan diberikan hari Jumat 10/5 jam 16.30 R. A.109,twitter.com/i/web/status/1126379207821381632,ECMU,Manajemen Operasi,Akhir Matua,Jumat 10/5,16.30,A.109
819,2019-05-08 06:46:41,ECEU Pengantar Ekonometrika dosen Riyanto / Prani kuliah pengganti akan diberikan hari Senin 13/5 jam 14.00 R. A.108,twitter.com/i/web/status/1126015546363793410,ECEU,Pengantar Ekonometrika,Riyanto / Prani,Senin 13/5,14.00,A.108
820,2019-05-08 06:41:30,ECMU Kewirausahaan dosen NIning I. Susilo kuliah pengganti akan diberikan hari Sabtu 11/5 jam 08.00 R. A.111,twitter.com/i/web/status/1126014242698567680,ECMU,Kewirausahaan,NIning I. Susilo,Sabtu 11/5,08.00,A.111
821,2019-05-08 06:38:51,ECMU Manajemen Keuangan E dosen Zuliani Dalimunthe kuliah pengganti akan diberikan hari Sabtu 11/5 jam 09.00 2 sesi R. A.110,twitter.com/i/web/status/1126013574768234496,ECMU,Manajemen Keuangan E,Zuliani Dalimunthe,Sabtu 11/5,09.00 2 sesi,A.110
822,2019-05-08 04:00:15,ECFE MPK Bhs Inggris L dosen Rahmarni S. kuliah pengganti akan diberikan hari Senin 13/5 jam 13.30 R. B.111,twitter.com/i/web/status/1125973664208265216,ECFE,MPK Bhs Inggris L,Rahmarni S.,Senin 13/5,13.30,B.111
823,2019-05-08 03:51:09,ECEU Mikroekonomi 1 dosen Rima Prima Artha kuliah pengganti akan diberikan hari Sabtu 11/5 jam 08.00 R. A.113,twitter.com/i/web/status/1125971371253567488,ECEU,Mikroekonomi 1,Rima Prima Artha,Sabtu 11/5,08.00,A.113
824,2019-05-08 03:22:52,ECMU Standar Etika amp Profesi dosen Dwi Widiastri kuliah pengganti akan diberikan hari Selasa 14/5 jam 09.00 A.101,twitter.com/i/web/status/1125964253247098881,ECMU,Standar Etika  Profesi,Dwi Widiastri,Selasa 14/5,09.00 A.101,
826,2019-05-08 02:40:32,ECAU Sistem Informasi Akuntansi dosen Slamet Wibowo kuliah pengganti akan diberikan hari Selasa 14/5 jam 14.00 2 sesi R. A.104,twitter.com/i/web/status/1125953601837211648,ECAU,Sistem Informasi Akuntansi,Slamet Wibowo,Selasa 14/5,14.00 2 sesi,A.104
827,2019-05-08 02:38:59,ECEU Analisis Tehnik Demografi dosen Omas Bulan S. kuliah pengganti akan diberikan hari Selasa 14/5 jam 08.00 R. A.106,twitter.com/i/web/status/1125953212454850561,ECEU,Analisis Tehnik Demografi,Omas Bulan S.,Selasa 14/5,08.00,A.106
828,2019-05-08 02:37:59,ECFE APEB dosen Dwi Widiastri kuliah pengganti akan diberikan hari Selasa 14/5 jam 14.00 2 sesi R. A.113,twitter.com/i/web/status/1125952959559262208,ECFE,APEB,Dwi Widiastri,Selasa 14/5,14.00 2 sesi,A.113
